用户编号,电压等级,年月,电费,滞纳金,欠费金额,电量,合同容量,运行容量,缴费次数,行业分类
1,交流10kV,202001,35828.98,0.00,0.00,,800.00,800.00,2,十一、公共服务及管理组织
1,交流10kV,202002,31464.14,0.00,0.00,,800.00,800.00,2,十一、公共服务及管理组织
1,交流10kV,202003,6347.66,0.00,0.00,,800.00,800.00,2,十一、公共服务及管理组织
1,交流10kV,202004,6609.55,0.00,0.00,,800.00,800.00,2,十一、公共服务及管理组织
1,交流10kV,202005,12475.42,0.00,0.00,,800.00,800.00,2,十一、公共服务及管理组织
1,交流10kV,202006,23532.40,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202007,40861.77,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202008,31526.18,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202009,59946.74,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202010,42527.95,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202011,19986.96,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202012,26968.34,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202101,58996.85,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202102,60277.52,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202103,13032.95,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202104,30351.37,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202105,21851.62,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202106,24534.30,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202107,48007.86,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202108,47419.30,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202109,27682.36,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
1,交流10kV,202110,70140.06,0.00,0.00,,800.00,800.00,,十一、公共服务及管理组织
1,交流10kV,202111,28175.10,0.00,0.00,,800.00,800.00,1,十一、公共服务及管理组织
875,交流10kV,202112,254.22,0.00,254.22,470.08,80.00,80.00,1,十一、公共服务及管理组织
2,交流10kV,202001,16213.41,0.00,0.00,,320.00,320.00,2,二、工业
2,交流10kV,202002,9876.46,0.00,0.00,,320.00,320.00,6,二、工业
2,交流10kV,202003,9343.86,0.00,0.00,,320.00,320.00,2,二、工业
2,交流10kV,202004,5413.65,0.00,0.00,,320.00,320.00,4,二、工业
2,交流10kV,202005,12170.16,0.00,0.00,,320.00,320.00,2,二、工业
2,交流10kV,202006,7343.26,0.00,0.00,,320.00,320.00,2,二、工业
2,交流10kV,202007,5540.79,0.00,0.00,,320.00,320.00,2,二、工业
2,交流10kV,202008,7489.05,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202009,248.34,0.00,0.00,,320.00,320.00,3,二、工业
2,交流10kV,202010,15167.78,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202011,18433.34,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202012,9591.17,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202101,14466.22,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202102,18963.31,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202103,4684.35,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202104,6000.10,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202105,5517.54,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202106,5495.92,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202107,4751.73,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202108,5046.84,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202109,4939.91,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202110,1557.50,0.00,0.00,,320.00,320.00,1,二、工业
2,交流10kV,202111,499.58,3.00,502.58,,320.00,320.00,1,二、工业
121,交流10kV,202112,1.20,0.00,1.20,1.11,200.00,0.00,,二、工业
3,交流10kV,202001,63.87,0.00,0.00,,40.00,40.00,2,十一、公共服务及管理组织
