user_id,embedding,severity,tag
1,"[0.         0.         0.         1.9499042  0.         0.8811498
 0.7027314  0.         0.3197057  0.         0.486017   0.
 0.         0.         0.5151934  1.9162241  0.         0.
 0.2009274  1.8209277  0.         0.         0.33998257 5.9659443
 0.         0.9642806  0.         0.89667255 0.88544273 0.44791326
 1.3910481  2.5912716  0.         0.         1.4560983  0.
 0.         0.08489275 1.9286201  0.00706129 0.         0.
 0.13690194 2.2459717  0.         0.08273789 0.         0.33097652
 0.8018922  0.         0.         0.80094415 0.         0.45954353
 0.53795284 0.08432645 0.6762229  0.         0.         1.1132126
 1.0079937  0.         0.864689   0.3018855  0.         1.5774007
 1.1907378  0.11790133 0.         0.52295214 0.         0.31945366
 2.6167367  0.         0.11076516 0.40238875 0.         0.20619431
 0.69460434 0.         0.43733308 0.         0.         0.
 2.376145   1.270867   0.         0.         0.58288944 0.
 0.         0.14779907 0.59154886 0.         0.         2.6535096
 0.         0.21434718 0.         0.         1.6141369  0.8654012
 1.076914   0.         0.         1.3108317  0.         0.24108402
 0.         0.         1.3125924  0.         0.         0.
 0.7746701  0.         0.         0.5409429  1.2661803  0.
 0.5662318  0.         0.         0.5826549  0.5969118  0.
 0.         0.        ]",0,轻度提醒
2,"[0.         0.         0.69087666 1.5226108  0.         0.6258464
 0.63833994 0.         0.         0.         0.7479511  0.39543635
 0.         0.         0.         0.         0.5190108  0.7125762
 0.         0.         1.2855368  0.         0.         1.9471712
 0.         0.58085537 1.4961808  0.20020203 0.86528325 0.9419496
 0.         0.         0.4629855  0.         1.2855775  0.
 0.21392137 0.8434979  1.2667053  0.02487641 0.         0.53647125
 0.19742075 0.1996671  0.         0.         0.         0.746358
 0.64975286 0.5299841  0.13996975 0.74135417 0.45720518 0.
 1.4104073  0.8151441  1.0863078  0.         0.         0.
 0.18928063 0.9267424  0.49705628 0.5773758  0.         0.33944118
 1.3812563  0.         0.         1.1331323  0.         0.
 0.         0.         0.         0.         1.5639166  0.
 0.6759508  0.         0.0523134  0.         0.         0.
 0.         1.3163612  0.47273934 0.         0.         1.1163412
 0.         0.97069997 0.45406008 0.         0.4986201  0.
 0.         0.         0.         0.         0.3292747  0.8655077
 0.         0.47796512 0.6713683  1.5094831  1.8217857  0.31407103
 0.         0.         0.82251674 0.         0.         0.
 0.9670613  0.         0.         0.8724147  0.34949806 0.6213818
 0.52209556 0.         0.         0.         0.         0.
 0.6521976  0.        ]",1,中度催缴
3,"[0.         0.         0.68760043 1.499394   0.         0.62547857
 0.5807281  0.         0.         0.         0.7475669  0.39451623
 0.         0.         0.         0.         0.7004523  0.746898
 0.         0.         1.3989301  0.         0.         1.9370971
 0.         0.49831417 1.7107922  0.19539572 0.8516753  0.9694295
 0.         0.         0.4558129  0.         1.2338989  0.
 0.26924562 0.84888583 1.2445555  0.02838255 0.         0.47747752
 0.20084277 0.11089104 0.         0.         0.         0.7314759
 0.6458374  0.5664861  0.11784574 0.74074554 0.5141957  0.
 1.3937879  0.7727176  1.1049623  0.         0.05959344 0.
 0.18951166 0.99298936 0.4905538  0.577322   0.         0.24475703
 1.3769139  0.         0.         1.1477172  0.         0.
 0.         0.         0.         0.         1.6767871  0.
 0.6759539  0.         0.04166843 0.         0.         0.
 0.         1.308404   0.5554762  0.         0.         1.2248503
 0.         1.0958152  0.41460788 0.         0.5151148  0.
 0.         0.         0.         0.         0.34855437 0.86563385
 0.         0.48519087 0.66144156 1.4759971  1.9468541  0.31021354
 0.         0.         0.7991046  0.         0.         0.
 0.94118834 0.         0.         0.8586831  0.36663878 0.7007827
 0.5207425  0.         0.         0.         0.         0.
 0.66740817 0.        ]",1,中度催缴
4,"[0.         1.0988535  0.04048801 2.4705896  0.         0.12441924
 0.7268084  0.7709162  0.         0.         0.8017184  0.
 0.         0.         1.2058187  1.2314467  0.         0.
 1.0184984  1.7391499  0.         0.         0.8001748  0.
 0.         1.8069036  0.         0.6646329  0.63098    0.
 0.81218064 3.2291243  0.6824732  0.         2.3885186  0.9496732
 0.         1.1136942  1.7117555  0.         0.         0.3580114
 0.06404217 2.1086462  0.         1.2770714  0.         0.4885026
 0.7509185  0.         0.32867748 0.7501179  0.         0.50309277
 0.81563765 0.8988887  0.06729414 0.87540597 0.         0.34757742
 0.         0.         0.9248588  0.20226188 0.         1.524826
 1.4426655  2.356045   0.44316125 0.80794567 0.         0.1127543
 1.8731507  0.         0.         0.         0.         0.6741034
 0.7217172  0.         0.24032217 0.         0.         0.4687608
 2.0758872  1.6568193  0.         0.5024327  0.4698336  0.
 0.00817169 0.         0.25039756 0.         0.05207817 2.2152271
 0.         0.         0.         0.         0.         0.8604004
 1.1442249  0.         0.         2.2508435  0.         0.43851358
 0.         0.37793863 1.188627   0.         0.6245264  0.
 1.0608838  0.14130747 0.         1.2929342  0.         0.
 0.5412033  0.         0.         0.48738104 1.0061113  0.
 0.         0.        ]",0,轻度提醒
5,"[0.         1.1723522  0.09549673 1.8843491  0.         0.72072417
 1.8347285  0.         0.15893227 0.         0.58109987 0.5067807
 0.         0.         0.         0.         0.         0.03698272
 0.07845301 0.6069243  0.         0.         0.         1.5303087
 0.         2.1726565  0.         0.25483543 1.2439613  0.23968735
 1.1946826  0.9934412  0.43244526 0.         1.7203429  0.3126906
 0.         0.78720105 1.611295   0.         0.         1.3215036
 0.15556386 1.7929761  0.         1.5571194  0.         0.9031742
 0.71275115 0.         0.57659864 0.74312675 0.         0.46815097
 1.7337608  1.4641223  0.8597901  0.         0.         0.42086884
 0.21309972 0.         0.5291106  0.61213064 0.         2.4514043
 1.4728547  1.7401426  0.2439285  1.0251104  0.         0.
 1.5920414  0.         1.2721539  0.         0.         0.
 0.666134   0.         0.33348796 0.         0.         0.
 2.0099003  1.5126534  0.         0.         0.18093956 0.
 0.         0.         1.0298328  0.         0.16958481 1.5750467
 0.         0.         0.         0.         0.21664608 0.86430675
 0.         0.09382439 0.21847396 1.7678392  0.         0.33423305
 0.         0.         0.9303935  0.         0.         0.
 1.0652034  0.8633317  0.         0.84209806 0.27152863 0.
 0.5459381  0.         0.         1.7631595  0.10159481 0.
 0.5152422  0.        ]",0,轻度提醒
6,"[0.         0.         0.63377297 1.5541015  0.         0.64030546
 0.73838997 0.         0.         0.         0.7272607  0.4586082
 0.         0.         0.         0.         0.57364845 0.6779385
 0.         0.         1.0725515  0.         0.         1.9221554
 0.         0.7136754  1.1671696  0.20065306 0.9277932  0.91218925
 0.         0.         0.4604183  0.         1.2783197  0.
 0.08661176 0.85761005 1.2936118  0.02736996 0.         0.6352302
 0.195346   0.30762348 0.         0.         0.         0.7809537
 0.65421754 0.36359942 0.20187585 0.73904496 0.17264308 0.
 1.4770169  0.887123   1.0949379  0.         0.01842272 0.
 0.20896739 0.77231956 0.49568242 0.60122585 0.         0.5846745
 1.3961995  0.         0.02508768 1.1516759  0.         0.
 0.04602122 0.         0.13964504 0.         1.4391114  0.
 0.6740554  0.         0.08063914 0.         0.         0.
 0.         1.3375434  0.21988201 0.         0.         1.0588052
 0.         0.77887446 0.50765884 0.         0.4795311  0.
 0.         0.         0.         0.         0.33876437 0.8655423
 0.         0.43536782 0.62105805 1.5058537  1.6027205  0.31395793
 0.         0.         0.8167702  0.         0.         0.
 0.9548798  0.         0.         0.8646895  0.36237037 0.46950787
 0.52293485 0.         0.         0.1446787  0.         0.
 0.69317144 0.        ]",1,中度催缴
7,"[0.         0.         0.31103376 2.1106706  0.         0.
 0.         0.55963755 0.         0.         1.0018011  0.
 0.         0.         0.         0.         2.324045   0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.6047398  0.         0.         0.
 0.17920785 0.         0.         0.         0.6261093  0.
 0.69294465 1.0811942  0.         0.04461613 0.         0.
 0.40236792 0.         0.         0.19710414 0.         0.
 0.5776725  0.         0.         0.7481265  0.92272055 0.
 0.         1.0962664  0.         0.         0.17970204 0.
 0.         0.         0.40594393 0.         0.         0.
 1.159095   0.         0.         0.         2.9422626  0.
 0.         0.         0.         0.         0.         0.
 0.7262907  0.         0.         0.         0.         2.542121
 0.         1.5199823  0.         0.9010793  0.         0.25026393
 0.0722594  0.         0.         0.         0.47369087 0.
 0.         0.         0.         0.8446047  0.         0.86274135
 0.         0.         0.         1.1572783  0.         0.42434675
 0.         0.         0.         0.         0.560992   0.
 0.         0.         2.4684522  0.97911686 0.         0.
 0.5567774  0.         0.         0.         0.         0.
 0.         0.        ]",2,重度追讨
8,"[0.         0.         0.58844143 1.59749    0.         0.56636107
 0.39985108 0.         0.         0.         0.7598952  0.08386862
 0.         0.         0.         0.         0.55567896 0.6747948
 0.10013939 0.         1.0113912  0.         0.         2.0427446
 0.         0.39866883 1.3795139  0.35601956 0.8876461  0.9102353
 0.         0.         0.42969045 0.         1.2836714  0.
 0.36064833 0.8699111  1.4263073  0.00248663 0.         0.33097997
 0.19104668 0.3936933  0.         0.         0.         0.7616826
 0.6540841  0.42789316 0.04757811 0.7398301  0.7814801  0.
 1.4461696  0.60600483 1.0149717  0.         0.         0.00678682
 0.23606974 0.62143546 0.5665034  0.5380346  0.         0.09038191
 1.3670774  0.         0.         1.1615294  0.         0.
 0.1183143  0.         0.         0.03522235 1.354206   0.
 0.6821462  0.         0.04082163 0.         0.         0.
 0.         1.3687447  0.43079114 0.         0.         0.6400405
 0.         1.3446198  0.34387082 0.         0.45546204 0.
 0.         0.         0.         0.         0.38587052 0.8651034
 0.         0.31493753 0.40741688 1.5216053  1.2947285  0.31637082
 0.         0.         0.909232   0.         0.         0.
 0.9990921  0.         0.         0.8612643  0.4054866  0.37948817
 0.52011573 0.         0.         0.         0.         0.
 0.4389348  0.        ]",1,中度催缴
9,"[0.         0.         0.         1.7516606  0.         0.
 0.         0.         0.         0.         0.90979755 0.
 0.         0.         0.         3.1104126  0.         0.
 0.9740857  1.7867328  0.         0.         0.         1.6463335
 0.         0.         2.9728575  1.5145653  0.         0.
 0.         1.880232   0.         0.         1.1383328  0.
 4.0642896  0.         2.0921953  0.         0.         0.
 0.23894183 0.65189487 0.         0.         0.         0.
 0.47044486 0.6443864  0.         0.79049796 7.1099195  0.
 0.         0.         0.         1.3940742  0.         1.2388992
 0.15042782 0.         0.86354697 0.         0.         0.
 0.68888336 0.         0.         0.4763103  0.         0.
 0.46290994 0.         0.         0.65750986 0.         0.28338298
 0.78118706 0.         0.         0.17764065 0.         0.
 0.         1.2561157  2.5874803  0.         0.11142051 0.
 0.10687093 6.9230256  0.         0.         0.05193414 3.1978886
 0.         0.         0.         3.8119667  0.85363126 0.8618684
 3.8170648  0.         0.         1.3924283  0.         0.10681342
 0.         0.         0.8498642  0.         0.         0.
 0.7019256  0.         0.         0.09625864 0.8144909  0.
 0.52650154 0.         0.         0.         1.6973385  0.
 0.         0.        ]",1,中度催缴
10,"[0.         0.         0.6636402  1.5151885  0.         0.6422391
 0.7023748  0.         0.         0.         0.7328162  0.47492003
 0.         0.         0.         0.         0.6726172  0.72092897
 0.         0.         1.2610288  0.         0.         1.9042723
 0.         0.6439067  1.4219588  0.17626883 0.8952163  0.9418291
 0.         0.         0.45901546 0.         1.246735   0.
 0.14243448 0.8527732  1.2501248  0.03150876 0.         0.58924353
 0.19916673 0.1796205  0.         0.         0.         0.7587569
 0.6493954  0.45575237 0.1726787  0.7397098  0.26064777 0.
 1.4480153  0.865543   1.1127193  0.         0.08033752 0.
 0.1974569  0.8783928  0.4824451  0.59742963 0.         0.4792397
 1.3901201  0.         0.01638317 1.1503235  0.         0.
 0.         0.         0.09388679 0.         1.5839783  0.
 0.6737372  0.         0.06271392 0.         0.         0.
 0.         1.3188396  0.3711655  0.         0.         1.210867
 0.         0.87546784 0.4783309  0.         0.5022475  0.
 0.         0.         0.         0.         0.33967137 0.8656641
 0.         0.48562288 0.67252123 1.4835484  1.7985184  0.3114152
 0.         0.         0.7893102  0.         0.         0.
 0.93872637 0.         0.         0.85852814 0.36035922 0.58357686
 0.52222085 0.         0.         0.07298954 0.         0.
 0.7129101  0.        ]",1,中度催缴
